round,test_acc,worst_class_recall,class_recall_std,train_loss,edge_acc_spread,weight_entropy,seconds
1,0.27575,0.0,0.41443,0.19986,nan,2.99548,118.5
2,0.71113,0.0,0.30506,0.0723,nan,2.9954,232.0
3,0.84375,0.5086,0.14839,0.04984,nan,2.99553,346.0
4,0.91738,0.83312,0.05592,0.0338,nan,2.99552,466.7
5,0.924,0.78072,0.06583,0.03034,nan,2.99555,580.2
6,0.94037,0.85967,0.03734,0.0252,nan,2.99553,697.7
7,0.95225,0.90786,0.02825,0.02163,nan,2.99557,811.7
8,0.95063,0.89803,0.03052,0.01836,nan,2.99559,924.8
9,0.95737,0.89254,0.02687,0.01945,nan,2.99558,1040.3
10,0.95413,0.89254,0.03282,0.01857,nan,2.99549,1154.0
11,0.95513,0.88452,0.02946,0.01613,nan,2.99546,1267.5
12,0.96462,0.94103,0.01739,0.01563,nan,2.99553,1380.8
13,0.96288,0.92629,0.02244,0.01437,nan,2.99553,1494.3
14,0.96637,0.94311,0.01698,0.01421,nan,2.99555,1615.1
15,0.96713,0.92668,0.01875,0.01263,nan,2.99558,1729.2
16,0.96813,0.93552,0.01852,0.01108,nan,2.99548,1842.6
17,0.971,0.9469,0.01573,0.01007,nan,2.99554,1956.3
18,0.97075,0.94975,0.01491,0.01072,nan,2.99542,2070.1
19,0.97188,0.94847,0.01356,0.00942,nan,2.99556,2184.3
20,0.9735,0.96145,0.01249,0.00882,nan,2.99552,2298.1
21,0.9735,0.94952,0.01506,0.00867,nan,2.99537,2411.6
22,0.97113,0.93932,0.01947,0.01086,nan,2.99544,2527.8
23,0.97575,0.95449,0.01237,0.00903,nan,2.99557,2641.5
24,0.97625,0.94943,0.01387,0.00837,nan,2.99542,2755.6
25,0.97375,0.94564,0.01751,0.00966,nan,2.99551,2869.1
26,0.97688,0.9507,0.01332,0.00854,nan,2.99552,2983.4
27,0.97688,0.95673,0.0131,0.00702,nan,2.99552,3097.6
28,0.978,0.95783,0.01111,0.00747,nan,2.99553,3211.3
29,0.976,0.92668,0.01973,0.00747,nan,2.99548,3327.2
30,0.97837,0.96034,0.01117,0.00786,nan,2.99555,3445.0
31,0.97825,0.95946,0.0111,0.00841,nan,2.9956,3560.5
32,0.97875,0.95954,0.01127,0.00867,nan,2.99558,3674.8
33,0.9795,0.9656,0.00942,0.00776,nan,2.99563,3788.2
34,0.97925,0.95702,0.01213,0.0063,nan,2.99558,3908.6
35,0.98037,0.95322,0.01234,0.00557,nan,2.99546,4025.1
36,0.97962,0.95449,0.01166,0.00733,nan,2.99552,4138.7
37,0.98137,0.96334,0.00858,0.00659,nan,2.9955,4253.9
38,0.98188,0.95575,0.01113,0.00728,nan,2.99557,4368.8
39,0.98062,0.95553,0.01237,0.00639,nan,2.99559,4482.8
40,0.98,0.95433,0.01333,0.00503,nan,2.99547,4597.4
41,0.982,0.96207,0.00946,0.00619,nan,2.99562,4711.2
42,0.98213,0.97092,0.00841,0.00514,nan,2.99553,4825.3
43,0.98262,0.96713,0.0085,0.00597,nan,2.99558,4939.2
44,0.9835,0.97236,0.00734,0.00503,nan,2.99553,5052.6
45,0.9835,0.97174,0.00854,0.00664,nan,2.99547,5169.0
46,0.98275,0.95322,0.01258,0.0054,nan,2.99548,5284.7
47,0.98337,0.97092,0.00759,0.00474,nan,2.99538,5398.9
48,0.98438,0.97115,0.00707,0.005,nan,2.9956,5512.7
49,0.98275,0.95954,0.01058,0.00559,nan,2.99544,5627.3
50,0.985,0.97092,0.00715,0.0056,nan,2.99557,5740.9
