round,test_acc,worst_class_recall,class_recall_std,train_loss,edge_acc_spread,weight_entropy,seconds
1,0.411,0.0,0.35345,0.16203,nan,2.88997,111.5
2,0.724,0.14121,0.24781,0.069,nan,2.89021,223.2
3,0.862,0.68041,0.08955,0.04923,nan,2.89017,334.2
4,0.88575,0.7025,0.09716,0.04131,nan,2.89021,447.4
5,0.90425,0.75995,0.07543,0.02753,nan,2.89021,558.9
6,0.89475,0.52888,0.13404,0.02474,nan,2.89024,671.3
7,0.92275,0.74583,0.07394,0.0212,nan,2.89013,784.0
8,0.94637,0.83125,0.04527,0.01931,nan,2.89024,893.8
9,0.95437,0.88402,0.0312,0.01758,nan,2.89013,1005.4
10,0.95125,0.87438,0.03591,0.01916,nan,2.89017,1117.0
11,0.95588,0.8725,0.03525,0.01425,nan,2.89023,1228.6
12,0.96362,0.91375,0.02237,0.01451,nan,2.89024,1343.8
13,0.964,0.9125,0.02279,0.01376,nan,2.89013,1454.9
14,0.96613,0.91375,0.02465,0.01168,nan,2.89019,1566.8
15,0.96262,0.8575,0.03681,0.01019,nan,2.89014,1679.2
16,0.96662,0.90875,0.02667,0.01167,nan,2.89011,1791.2
17,0.96525,0.90206,0.02612,0.00995,nan,2.89012,1903.2
18,0.9675,0.90077,0.02636,0.01101,nan,2.89019,2014.9
19,0.97113,0.9433,0.01542,0.00854,nan,2.89015,2127.7
20,0.96788,0.93596,0.01847,0.01086,nan,2.89024,2239.5
21,0.96888,0.92912,0.02042,0.00935,nan,2.89012,2350.7
22,0.97125,0.9201,0.02343,0.00993,nan,2.8902,2461.6
23,0.96888,0.91366,0.02669,0.00849,nan,2.89023,2573.1
24,0.9735,0.94072,0.01823,0.00881,nan,2.89021,2684.9
25,0.97362,0.92875,0.01885,0.00878,nan,2.89015,2795.4
26,0.97525,0.9433,0.01789,0.00639,nan,2.89021,2906.2
27,0.97413,0.92375,0.01902,0.00916,nan,2.89011,3018.2
28,0.97537,0.94459,0.01653,0.0083,nan,2.89017,3132.3
29,0.97488,0.91625,0.02195,0.00711,nan,2.89013,3244.7
30,0.97662,0.94951,0.01527,0.00755,nan,2.8901,3355.8
31,0.97675,0.95747,0.012,0.00766,nan,2.89022,3467.4
32,0.97762,0.96005,0.00999,0.00704,nan,2.8902,3577.5
33,0.97862,0.94951,0.01425,0.00659,nan,2.89025,3688.5
34,0.97875,0.965,0.00992,0.00814,nan,2.89021,3800.0
35,0.97962,0.96059,0.01076,0.00701,nan,2.89025,3911.2
36,0.97925,0.94845,0.01283,0.00737,nan,2.89018,4025.6
37,0.97475,0.91375,0.02691,0.00491,nan,2.89019,4135.8
38,0.97962,0.955,0.01277,0.00635,nan,2.89016,4247.7
39,0.98013,0.95375,0.01258,0.0059,nan,2.89021,4358.7
40,0.98113,0.95747,0.01245,0.00559,nan,2.89017,4470.1
41,0.97975,0.95103,0.01486,0.0061,nan,2.89014,4581.4
42,0.98062,0.95361,0.01431,0.00582,nan,2.89024,4693.4
43,0.98125,0.95625,0.01087,0.00726,nan,2.89022,4804.2
44,0.9795,0.94375,0.01405,0.00614,nan,2.89017,4917.5
45,0.982,0.96,0.00935,0.00601,nan,2.89023,5029.7
46,0.98113,0.9549,0.01087,0.00512,nan,2.89022,5141.1
47,0.98237,0.96392,0.01136,0.00577,nan,2.89014,5252.5
48,0.98225,0.96125,0.00975,0.00565,nan,2.8902,5363.5
49,0.98213,0.95125,0.01221,0.00474,nan,2.89018,5474.9
50,0.98325,0.96125,0.00984,0.0056,nan,2.89025,5587.0
