round,test_acc,worst_class_recall,class_recall_std,train_loss,edge_acc_spread,weight_entropy,seconds
1,0.115,0.0,0.3,1.20035,nan,2.99564,7.6
2,0.15375,0.0,0.30377,1.04457,nan,2.9956,15.6
3,0.4,0.0,0.46752,0.99738,nan,2.99565,23.3
4,0.75375,0.0,0.36421,0.72248,nan,2.99563,31.3
5,0.9125,0.49474,0.15226,0.40586,nan,2.99562,38.6
6,1.0,1.0,0.0,0.20714,nan,2.99562,46.3
7,1.0,1.0,0.0,0.12355,nan,2.99563,54.0
8,1.0,1.0,0.0,0.07313,nan,2.99561,61.8
9,1.0,1.0,0.0,0.05069,nan,2.99565,69.7
10,1.0,1.0,0.0,0.02892,nan,2.99562,77.4
11,1.0,1.0,0.0,0.02366,nan,2.99566,85.1
12,1.0,1.0,0.0,0.01839,nan,2.9956,92.8
13,1.0,1.0,0.0,0.01228,nan,2.9956,100.6
14,1.0,1.0,0.0,0.00785,nan,2.99564,108.4
15,1.0,1.0,0.0,0.0094,nan,2.99556,116.2
16,1.0,1.0,0.0,0.00658,nan,2.99564,123.9
17,1.0,1.0,0.0,0.00352,nan,2.99562,131.4
18,1.0,1.0,0.0,0.00314,nan,2.99565,139.0
19,1.0,1.0,0.0,0.00347,nan,2.99564,146.7
20,1.0,1.0,0.0,0.0022,nan,2.99566,154.8
21,1.0,1.0,0.0,0.00223,nan,2.99566,162.5
22,1.0,1.0,0.0,0.00174,nan,2.99561,170.4
23,1.0,1.0,0.0,0.00174,nan,2.99564,178.0
24,1.0,1.0,0.0,0.00174,nan,2.99564,185.6
25,1.0,1.0,0.0,0.00307,nan,2.99566,193.2
26,1.0,1.0,0.0,0.00129,nan,2.99559,201.0
27,1.0,1.0,0.0,0.00126,nan,2.99562,208.8
28,1.0,1.0,0.0,0.00119,nan,2.99558,216.5
29,1.0,1.0,0.0,0.00113,nan,2.99563,224.2
30,1.0,1.0,0.0,0.00109,nan,2.99565,231.8
31,1.0,1.0,0.0,0.00099,nan,2.99561,239.4
32,1.0,1.0,0.0,0.00097,nan,2.99566,247.1
33,1.0,1.0,0.0,0.0009,nan,2.99565,254.9
34,1.0,1.0,0.0,0.00085,nan,2.99567,262.6
35,1.0,1.0,0.0,0.00084,nan,2.99559,270.4
36,1.0,1.0,0.0,0.00082,nan,2.99567,278.2
37,1.0,1.0,0.0,0.00072,nan,2.99563,285.9
38,1.0,1.0,0.0,0.00073,nan,2.9956,293.6
39,1.0,1.0,0.0,0.00071,nan,2.99564,301.3
40,1.0,1.0,0.0,0.00067,nan,2.99564,308.7
41,1.0,1.0,0.0,0.00064,nan,2.99561,316.4
42,1.0,1.0,0.0,0.00061,nan,2.99563,324.1
43,1.0,1.0,0.0,0.00058,nan,2.99561,331.7
44,1.0,1.0,0.0,0.00055,nan,2.99566,339.3
45,1.0,1.0,0.0,0.00056,nan,2.99564,347.1
46,1.0,1.0,0.0,0.00052,nan,2.99564,355.0
47,1.0,1.0,0.0,0.00054,nan,2.99567,362.7
48,1.0,1.0,0.0,0.00049,nan,2.99566,370.4
49,1.0,1.0,0.0,0.00048,nan,2.99563,378.2
50,1.0,1.0,0.0,0.00045,nan,2.99562,386.1
