round,test_acc,worst_class_recall,class_recall_std,train_loss,edge_acc_spread,weight_entropy,seconds
1,0.105,0.0,0.29725,1.17112,nan,2.99558,7.5
2,0.1925,0.0,0.39734,0.96071,nan,2.99556,15.2
3,0.7525,0.0,0.38906,0.69677,nan,2.99557,22.9
4,0.95625,0.71429,0.0909,0.35439,nan,2.99548,30.6
5,0.995,0.94667,0.016,0.2082,nan,2.99545,38.5
6,1.0,1.0,0.0,0.13571,nan,2.99561,46.4
7,1.0,1.0,0.0,0.07798,nan,2.99565,54.0
8,1.0,1.0,0.0,0.05611,nan,2.99564,61.7
9,1.0,1.0,0.0,0.03881,nan,2.99562,69.2
10,1.0,1.0,0.0,0.02325,nan,2.99543,76.8
11,1.0,1.0,0.0,0.01776,nan,2.99548,84.5
12,1.0,1.0,0.0,0.01222,nan,2.99552,92.1
13,1.0,1.0,0.0,0.01105,nan,2.9955,99.9
14,1.0,1.0,0.0,0.00702,nan,2.99547,107.4
15,1.0,1.0,0.0,0.00455,nan,2.9955,115.3
16,1.0,1.0,0.0,0.003,nan,2.99559,123.2
17,1.0,1.0,0.0,0.00475,nan,2.99546,130.9
18,1.0,1.0,0.0,0.00303,nan,2.99556,138.7
19,1.0,1.0,0.0,0.00374,nan,2.99563,146.3
20,1.0,1.0,0.0,0.00206,nan,2.99551,153.9
21,1.0,1.0,0.0,0.00178,nan,2.99561,161.7
22,1.0,1.0,0.0,0.00167,nan,2.99559,169.6
23,1.0,1.0,0.0,0.00156,nan,2.9955,177.4
24,1.0,1.0,0.0,0.0023,nan,2.99565,185.2
25,1.0,1.0,0.0,0.00128,nan,2.99554,193.0
26,1.0,1.0,0.0,0.00122,nan,2.99553,200.9
27,1.0,1.0,0.0,0.00118,nan,2.99557,208.4
28,1.0,1.0,0.0,0.00104,nan,2.99554,216.1
29,1.0,1.0,0.0,0.00102,nan,2.99554,223.6
30,1.0,1.0,0.0,0.00097,nan,2.99539,231.6
31,1.0,1.0,0.0,0.0009,nan,2.99561,239.2
32,1.0,1.0,0.0,0.00087,nan,2.99552,246.8
33,1.0,1.0,0.0,0.00084,nan,2.99547,254.3
34,1.0,1.0,0.0,0.00075,nan,2.99548,261.9
35,1.0,1.0,0.0,0.00074,nan,2.99545,269.7
36,1.0,1.0,0.0,0.00172,nan,2.99543,277.6
37,1.0,1.0,0.0,0.00069,nan,2.99556,285.1
38,1.0,1.0,0.0,0.00066,nan,2.99554,292.6
39,1.0,1.0,0.0,0.00063,nan,2.99551,300.1
40,1.0,1.0,0.0,0.00057,nan,2.99554,307.8
41,1.0,1.0,0.0,0.00054,nan,2.99558,315.5
42,1.0,1.0,0.0,0.00058,nan,2.99555,323.3
43,1.0,1.0,0.0,0.00047,nan,2.99551,331.1
44,1.0,1.0,0.0,0.00052,nan,2.99562,338.8
45,1.0,1.0,0.0,0.0005,nan,2.99552,346.5
46,1.0,1.0,0.0,0.00046,nan,2.99544,354.2
47,1.0,1.0,0.0,0.00047,nan,2.99558,361.9
48,1.0,1.0,0.0,0.00045,nan,2.99553,369.7
49,1.0,1.0,0.0,0.00042,nan,2.99555,377.6
50,1.0,1.0,0.0,0.00044,nan,2.99552,385.4
