round,test_acc,worst_class_recall,class_recall_std,train_loss,edge_acc_spread,weight_entropy,seconds
1,0.31338,0.0,0.36301,0.17054,0.05274,2.97827,118.5
2,0.69488,0.255,0.20717,0.06818,0.07344,2.97284,239.4
3,0.85613,0.455,0.13777,0.047,0.08098,2.97048,360.0
4,0.90363,0.83125,0.05188,0.03554,0.09142,2.97022,481.0
5,0.9195,0.80155,0.05948,0.02939,0.10733,2.96974,601.6
6,0.9285,0.835,0.05411,0.02395,0.07472,2.98611,720.9
7,0.944,0.87562,0.03419,0.02607,0.09115,2.98472,840.8
8,0.94925,0.89175,0.03171,0.02016,0.11776,2.97822,960.3
9,0.951,0.89532,0.03296,0.01879,0.09233,2.98694,1079.5
10,0.95225,0.91237,0.02903,0.01533,0.07912,2.9894,1199.1
11,0.956,0.89691,0.0288,0.01886,0.08681,2.98846,1319.4
12,0.96113,0.92139,0.02121,0.01505,0.08428,2.98911,1443.7
13,0.96337,0.9,0.02651,0.0139,0.0632,2.99246,1564.1
14,0.95862,0.87875,0.0337,0.01273,0.0658,2.99222,1686.4
15,0.96362,0.92488,0.02101,0.01402,0.07293,2.99149,1806.9
16,0.96988,0.92,0.01895,0.01282,0.05659,2.99323,1926.7
17,0.96737,0.93875,0.01932,0.01063,0.06648,2.99238,2046.6
18,0.9705,0.92875,0.01773,0.01109,0.07847,2.99113,2165.9
19,0.96675,0.92118,0.02075,0.00994,0.05735,2.99339,2286.3
20,0.96913,0.92,0.02086,0.00892,0.07119,2.99195,2406.5
21,0.97225,0.9425,0.01682,0.01153,0.0623,2.993,2526.4
22,0.97162,0.93041,0.01838,0.01065,0.05628,2.9935,2646.3
23,0.97213,0.94201,0.01622,0.00908,0.04415,2.99444,2766.6
24,0.973,0.93875,0.01662,0.00824,0.06275,2.99303,2886.6
25,0.972,0.93041,0.01817,0.00784,0.04219,2.99457,3006.9
26,0.97175,0.90979,0.02476,0.00837,0.05842,2.99342,3130.2
27,0.97488,0.92875,0.01926,0.00915,0.05691,2.99363,3257.3
28,0.97188,0.92784,0.01913,0.00862,0.03663,2.99489,3378.7
29,0.97737,0.93686,0.01703,0.00762,0.04951,2.99412,3499.4
30,0.9775,0.93686,0.01902,0.00715,0.05045,2.99407,3620.7
31,0.97875,0.9475,0.0131,0.00644,0.04471,2.99448,3740.6
32,0.97888,0.9525,0.01171,0.00803,0.06171,2.99321,3862.2
33,0.98025,0.9525,0.01291,0.00748,0.05438,2.99384,3984.1
34,0.97962,0.95375,0.01097,0.00718,0.0498,2.9942,4105.5
35,0.98062,0.95375,0.01247,0.00653,0.05419,2.99384,4226.2
36,0.98,0.955,0.01335,0.00593,0.05416,2.99385,4346.7
37,0.97937,0.95875,0.01112,0.00711,0.05554,2.99381,4467.7
38,0.98075,0.95,0.01396,0.00646,0.03837,2.99481,4590.4
39,0.98037,0.945,0.01387,0.00669,0.03328,2.99507,4709.9
40,0.98037,0.95625,0.01309,0.00622,0.02259,2.99543,4830.0
41,0.97813,0.9375,0.01761,0.00407,0.03465,2.995,4950.3
42,0.98175,0.95875,0.01032,0.00737,0.05693,2.99369,5074.6
43,0.98137,0.96005,0.01239,0.00695,0.05051,2.99416,5194.4
44,0.98275,0.96392,0.00951,0.00599,0.0411,2.99474,5315.0
45,0.9825,0.95125,0.01245,0.00615,0.04165,2.99469,5435.4
46,0.98237,0.955,0.01022,0.00598,0.04619,2.99444,5554.6
47,0.98325,0.95375,0.01148,0.00525,0.03368,2.99506,5674.9
48,0.9835,0.95875,0.00977,0.00514,0.03955,2.9948,5793.6
49,0.9835,0.96,0.01262,0.00541,0.02453,2.99539,5914.2
50,0.98413,0.96875,0.00802,0.00581,0.03648,2.99494,6034.3
