round,test_acc,worst_class_recall,class_recall_std,train_loss,edge_acc_spread,weight_entropy,seconds
1,0.4775,0.03756,0.35196,0.17015,0.05356,2.97436,131.8
2,0.73638,0.25105,0.25244,0.07629,0.07629,2.96402,264.0
3,0.78563,0.37015,0.22864,0.04572,0.06351,2.97997,397.6
4,0.88662,0.70388,0.09463,0.03865,0.07357,2.98075,530.2
5,0.90225,0.70432,0.08796,0.02982,0.11367,2.96383,662.5
6,0.9275,0.81606,0.05702,0.02718,0.09085,2.97926,793.7
7,0.93625,0.83161,0.05336,0.02096,0.09348,2.98187,929.1
8,0.9485,0.88725,0.03658,0.01965,0.09413,2.9839,1061.7
9,0.95362,0.90898,0.02852,0.01767,0.05981,2.992,1192.7
10,0.9555,0.91912,0.0235,0.01528,0.08665,2.9875,1324.6
11,0.95825,0.93325,0.0211,0.01476,0.08673,2.98782,1457.3
12,0.95475,0.90656,0.02672,0.01549,0.0732,2.99007,1589.2
13,0.96188,0.92961,0.01914,0.01242,0.10343,2.98527,1720.2
14,0.96637,0.94819,0.01383,0.01309,0.0814,2.99003,1854.4
15,0.96688,0.92228,0.01978,0.01197,0.07655,2.9909,1985.5
16,0.96775,0.93005,0.01984,0.01017,0.05961,2.99309,2117.2
17,0.96813,0.93995,0.0169,0.01176,0.0799,2.99079,2247.9
18,0.96925,0.94689,0.01579,0.01006,0.05761,2.99322,2379.7
19,0.97062,0.94853,0.01409,0.00977,0.07334,2.99155,2510.1
20,0.97113,0.9473,0.01753,0.0111,0.06294,2.99281,2641.2
21,0.97113,0.93394,0.01647,0.00822,0.06258,2.99304,2776.4
22,0.97113,0.94041,0.01734,0.00982,0.05984,2.99322,2908.1
23,0.97362,0.94819,0.01648,0.00846,0.06032,2.99317,3038.9
24,0.97475,0.95337,0.01258,0.00805,0.0483,2.99414,3170.9
25,0.9755,0.95833,0.01284,0.00826,0.05744,2.99346,3302.8
26,0.97588,0.95221,0.01344,0.00838,0.05068,2.99402,3435.8
27,0.97488,0.95885,0.01223,0.00813,0.04124,2.99461,3569.5
28,0.97562,0.94608,0.01611,0.00817,0.03964,2.99473,3701.8
29,0.97488,0.94819,0.01441,0.008,0.02774,2.99525,3833.6
30,0.97688,0.94888,0.01375,0.00746,0.06538,2.99286,3965.8
31,0.97837,0.95511,0.01137,0.00745,0.04537,2.99444,4098.6
32,0.97775,0.95098,0.01105,0.00617,0.0412,2.99466,4230.5
33,0.97788,0.95711,0.01166,0.0069,0.03845,2.9948,4362.0
34,0.97913,0.9473,0.01234,0.00692,0.03479,2.99497,4496.9
35,0.98,0.96509,0.01185,0.00627,0.01923,2.99551,4630.1
36,0.98,0.96569,0.00787,0.00672,0.05049,2.99409,4762.6
37,0.98137,0.96814,0.00994,0.00638,0.03159,2.99512,4894.3
38,0.98037,0.95343,0.01288,0.00608,0.03725,2.99487,5025.1
39,0.97937,0.95956,0.01095,0.00667,0.0427,2.99459,5156.6
40,0.97975,0.96114,0.00952,0.00578,0.02347,2.99541,5288.2
41,0.98013,0.95711,0.01236,0.00609,0.03745,2.99488,5421.7
42,0.98137,0.96691,0.01003,0.00634,0.02776,2.99528,5553.5
43,0.98237,0.96883,0.00921,0.0064,0.03825,2.99482,5686.3
44,0.98188,0.96883,0.01016,0.00475,0.0345,2.99502,5818.8
45,0.98162,0.96114,0.01028,0.00491,0.04411,2.99454,5957.4
46,0.983,0.97007,0.00889,0.00661,0.04067,2.99472,6092.5
47,0.98313,0.9715,0.00823,0.00479,0.03301,2.99509,6224.1
48,0.98325,0.96936,0.00859,0.00589,0.04704,2.99439,6360.8
49,0.983,0.97059,0.0088,0.0049,0.02416,2.99539,6492.4
50,0.98413,0.96446,0.01005,0.00485,0.02998,2.9952,6624.3
