round,test_acc,worst_class_recall,class_recall_std,train_loss,edge_acc_spread,weight_entropy,seconds
1,0.38412,0.0,0.34149,0.16203,0.0565,2.86833,119.3
2,0.71962,0.29012,0.23794,0.068,0.06184,2.87088,239.2
3,0.86175,0.67526,0.0869,0.05069,0.04048,2.88444,359.1
4,0.89275,0.77062,0.0753,0.0404,0.08956,2.86613,478.2
5,0.90638,0.80419,0.06837,0.02835,0.0804,2.87471,597.2
6,0.91238,0.69448,0.0902,0.0252,0.12584,2.86047,718.6
7,0.9345,0.84852,0.04758,0.02165,0.10084,2.87606,840.8
8,0.94488,0.83625,0.04409,0.0197,0.11844,2.87308,959.7
9,0.95425,0.88273,0.032,0.01833,0.09789,2.87891,1079.4
10,0.95212,0.86946,0.0376,0.01831,0.10979,2.87703,1199.1
11,0.955,0.86125,0.03892,0.014,0.07988,2.88448,1318.1
12,0.96313,0.91375,0.0214,0.01451,0.07233,2.8859,1437.4
13,0.964,0.91125,0.02345,0.01389,0.06974,2.88619,1556.0
14,0.96462,0.91125,0.02702,0.01132,0.09424,2.88263,1677.8
15,0.96275,0.86625,0.03431,0.01085,0.07345,2.88625,1798.8
16,0.9655,0.9075,0.02953,0.01193,0.06836,2.88683,1919.2
17,0.96413,0.89691,0.02804,0.01085,0.06068,2.88749,2040.4
18,0.96688,0.89948,0.02621,0.01117,0.0607,2.88763,2159.8
19,0.97337,0.93875,0.01449,0.00872,0.07469,2.88599,2281.0
20,0.96925,0.94458,0.01664,0.01068,0.0713,2.88666,2399.6
21,0.96962,0.93299,0.0199,0.00971,0.0783,2.88545,2520.0
22,0.9715,0.92139,0.02233,0.00963,0.06612,2.88708,2641.1
23,0.97062,0.9201,0.02592,0.00864,0.03529,2.88958,2760.4
24,0.97375,0.9425,0.01672,0.00851,0.05151,2.88853,2881.4
25,0.97237,0.9225,0.02089,0.00869,0.05536,2.88829,3001.5
26,0.97537,0.93875,0.01605,0.00645,0.05747,2.88809,3121.5
27,0.97462,0.92625,0.01824,0.00871,0.06502,2.8874,3241.5
28,0.97537,0.94716,0.0144,0.00801,0.07078,2.8869,3361.2
29,0.976,0.9275,0.01855,0.00739,0.0434,2.8892,3485.0
30,0.97762,0.94625,0.01334,0.00762,0.04995,2.88871,3605.3
31,0.9765,0.9549,0.0129,0.008,0.05321,2.88858,3725.4
32,0.97837,0.95747,0.01005,0.00671,0.04854,2.88885,3844.8
33,0.97888,0.94704,0.01465,0.00689,0.04222,2.88926,3963.8
34,0.9775,0.96059,0.01145,0.00761,0.05494,2.88848,4083.6
35,0.97937,0.95813,0.01009,0.00719,0.04499,2.88909,4202.3
36,0.98025,0.96005,0.01049,0.00761,0.07116,2.88703,4322.7
37,0.97525,0.9275,0.02337,0.00528,0.04523,2.88908,4443.6
38,0.97925,0.95361,0.01213,0.00612,0.03354,2.8897,4563.6
39,0.97875,0.9575,0.01134,0.0061,0.04716,2.88898,4684.6
40,0.98037,0.95875,0.01113,0.00611,0.05581,2.8884,4803.8
41,0.97975,0.9549,0.01349,0.00556,0.03524,2.88962,4922.4
42,0.98137,0.95103,0.01386,0.00598,0.03521,2.88962,5041.7
43,0.98075,0.95625,0.01019,0.00714,0.03579,2.88961,5160.7
44,0.98062,0.9475,0.01324,0.00653,0.02892,2.88987,5282.5
45,0.98062,0.95875,0.00967,0.00643,0.03537,2.88962,5405.8
46,0.98113,0.95619,0.01096,0.00518,0.04245,2.88928,5526.4
47,0.982,0.96392,0.00985,0.00614,0.03204,2.88977,5645.8
48,0.98175,0.96125,0.00949,0.00537,0.04606,2.88908,5765.2
49,0.98188,0.955,0.0117,0.0047,0.03908,2.88946,5885.7
50,0.98325,0.96,0.00976,0.00593,0.04004,2.8894,6006.2
