round,test_acc,worst_class_recall,class_recall_std,train_loss,edge_acc_spread,weight_entropy,seconds
1,0.115,0.0,0.3,1.22929,nan,2.99563,7.7
2,0.0825,0.0,0.3,1.05076,nan,2.99564,15.1
3,0.29,0.0,0.42086,0.96656,nan,2.99553,23.0
4,0.7875,0.0,0.39457,0.68071,nan,2.99555,30.8
5,0.99375,0.94737,0.01579,0.36819,nan,2.99564,38.2
6,0.99125,0.94937,0.01925,0.20827,nan,2.99563,45.9
7,1.0,1.0,0.0,0.13425,nan,2.99564,53.6
8,0.99625,0.9625,0.01125,0.07164,nan,2.9956,61.4
9,1.0,1.0,0.0,0.06194,nan,2.99559,69.0
10,1.0,1.0,0.0,0.03285,nan,2.9956,76.8
11,1.0,1.0,0.0,0.02349,nan,2.99557,84.6
12,1.0,1.0,0.0,0.01679,nan,2.99565,92.1
13,1.0,1.0,0.0,0.01235,nan,2.99558,99.8
14,1.0,1.0,0.0,0.00883,nan,2.99558,107.4
15,1.0,1.0,0.0,0.00472,nan,2.99564,115.1
16,1.0,1.0,0.0,0.00566,nan,2.99558,123.0
17,1.0,1.0,0.0,0.00678,nan,2.99562,130.8
18,1.0,1.0,0.0,0.00394,nan,2.99563,138.7
19,1.0,1.0,0.0,0.0026,nan,2.99562,146.4
20,1.0,1.0,0.0,0.00382,nan,2.9956,154.3
21,1.0,1.0,0.0,0.00224,nan,2.99563,161.9
22,1.0,1.0,0.0,0.00197,nan,2.99558,169.6
23,1.0,1.0,0.0,0.00167,nan,2.99558,177.7
24,1.0,1.0,0.0,0.00312,nan,2.99559,185.4
25,1.0,1.0,0.0,0.00166,nan,2.99565,193.1
26,1.0,1.0,0.0,0.00136,nan,2.99567,200.7
27,1.0,1.0,0.0,0.00129,nan,2.99562,208.5
28,1.0,1.0,0.0,0.00123,nan,2.99563,216.4
29,1.0,1.0,0.0,0.00113,nan,2.99562,224.2
30,1.0,1.0,0.0,0.00219,nan,2.99564,231.9
31,1.0,1.0,0.0,0.00101,nan,2.99556,239.6
32,1.0,1.0,0.0,0.00095,nan,2.99556,247.3
33,1.0,1.0,0.0,0.00088,nan,2.99562,255.1
34,1.0,1.0,0.0,0.00084,nan,2.99558,263.0
35,1.0,1.0,0.0,0.00083,nan,2.99561,270.7
36,1.0,1.0,0.0,0.00083,nan,2.99561,278.6
37,1.0,1.0,0.0,0.00077,nan,2.99563,286.2
38,1.0,1.0,0.0,0.0007,nan,2.99563,293.8
39,1.0,1.0,0.0,0.00071,nan,2.99562,301.8
40,1.0,1.0,0.0,0.00065,nan,2.99559,309.5
41,1.0,1.0,0.0,0.00064,nan,2.99566,317.3
42,1.0,1.0,0.0,0.0006,nan,2.99561,325.1
43,1.0,1.0,0.0,0.00063,nan,2.99564,332.5
44,1.0,1.0,0.0,0.00059,nan,2.99556,340.4
45,1.0,1.0,0.0,0.00058,nan,2.99563,348.1
46,1.0,1.0,0.0,0.00053,nan,2.99562,355.9
47,1.0,1.0,0.0,0.00054,nan,2.99564,363.6
48,1.0,1.0,0.0,0.00046,nan,2.99565,371.2
49,1.0,1.0,0.0,0.00048,nan,2.99562,379.1
50,1.0,1.0,0.0,0.00045,nan,2.99562,387.0
