round,test_acc,worst_class_recall,class_recall_std,train_loss,edge_acc_spread,weight_entropy,seconds
1,0.09625,0.0,0.29959,1.14115,nan,2.99557,7.6
2,0.21125,0.0,0.39936,0.93453,nan,2.99557,15.2
3,0.6825,0.0,0.40337,0.57726,nan,2.99558,23.1
4,0.8825,0.31646,0.21109,0.32416,nan,2.99553,31.3
5,0.95375,0.53165,0.14051,0.18298,nan,2.9956,39.8
6,0.95875,0.59494,0.12114,0.09083,nan,2.99561,47.7
7,0.9975,0.97368,0.00789,0.0837,nan,2.99551,55.4
8,0.9975,0.97468,0.00759,0.05229,nan,2.99552,63.2
9,1.0,1.0,0.0,0.03627,nan,2.9955,70.8
10,1.0,1.0,0.0,0.02426,nan,2.99555,78.5
11,1.0,1.0,0.0,0.02061,nan,2.9956,86.2
12,1.0,1.0,0.0,0.01946,nan,2.99555,93.9
13,1.0,1.0,0.0,0.01736,nan,2.9955,101.8
14,1.0,1.0,0.0,0.01497,nan,2.99551,109.5
15,1.0,1.0,0.0,0.01243,nan,2.99553,117.2
16,1.0,1.0,0.0,0.00589,nan,2.99543,124.9
17,1.0,1.0,0.0,0.00492,nan,2.99561,132.7
18,1.0,1.0,0.0,0.00963,nan,2.99554,140.4
19,1.0,1.0,0.0,0.00464,nan,2.99558,148.1
20,1.0,1.0,0.0,0.00578,nan,2.99552,155.6
21,1.0,1.0,0.0,0.00482,nan,2.99556,163.2
22,1.0,1.0,0.0,0.00565,nan,2.99549,171.0
23,1.0,1.0,0.0,0.00216,nan,2.99556,178.7
24,1.0,1.0,0.0,0.00184,nan,2.99557,186.5
25,1.0,1.0,0.0,0.00176,nan,2.99548,194.0
26,1.0,1.0,0.0,0.00141,nan,2.99549,201.9
27,1.0,1.0,0.0,0.00428,nan,2.99548,209.6
28,1.0,1.0,0.0,0.00125,nan,2.99549,217.2
29,1.0,1.0,0.0,0.00117,nan,2.99554,224.9
30,1.0,1.0,0.0,0.00102,nan,2.99559,232.5
31,1.0,1.0,0.0,0.00109,nan,2.99548,240.0
32,1.0,1.0,0.0,0.001,nan,2.99557,247.5
33,1.0,1.0,0.0,0.00084,nan,2.99555,255.3
34,1.0,1.0,0.0,0.00087,nan,2.99547,263.0
35,1.0,1.0,0.0,0.00082,nan,2.99556,270.7
36,1.0,1.0,0.0,0.00071,nan,2.99558,278.4
37,1.0,1.0,0.0,0.00073,nan,2.99558,286.1
38,1.0,1.0,0.0,0.00069,nan,2.99553,293.6
39,1.0,1.0,0.0,0.00068,nan,2.99559,301.1
40,1.0,1.0,0.0,0.00066,nan,2.99555,308.7
41,1.0,1.0,0.0,0.0006,nan,2.99559,316.1
42,1.0,1.0,0.0,0.00059,nan,2.99552,324.0
43,1.0,1.0,0.0,0.00061,nan,2.99548,331.6
44,1.0,1.0,0.0,0.00055,nan,2.9955,340.3
45,1.0,1.0,0.0,0.00055,nan,2.99556,347.9
46,1.0,1.0,0.0,0.00052,nan,2.99547,355.5
47,1.0,1.0,0.0,0.00051,nan,2.99554,363.2
48,1.0,1.0,0.0,0.00053,nan,2.99556,370.8
49,1.0,1.0,0.0,0.00051,nan,2.99559,378.4
50,1.0,1.0,0.0,0.00046,nan,2.99553,386.1
