round,test_acc,worst_class_recall,class_recall_std,train_loss,edge_acc_spread,weight_entropy,seconds
1,0.42738,0.0,0.37637,0.19282,nan,2.99548,114.1
2,0.57463,0.0154,0.33977,0.0786,nan,2.99555,234.5
3,0.77963,0.10013,0.2684,0.05042,nan,2.99548,347.3
4,0.90725,0.74398,0.06979,0.03431,nan,2.99552,472.9
5,0.90987,0.73131,0.08287,0.02741,nan,2.99553,595.5
6,0.933,0.8403,0.05286,0.0252,nan,2.99544,724.7
7,0.93675,0.8251,0.04887,0.02046,nan,2.99545,849.7
8,0.94237,0.87326,0.03526,0.01899,nan,2.99563,990.9
9,0.94775,0.87579,0.03644,0.01948,nan,2.99555,1136.6
10,0.95813,0.8948,0.02687,0.0145,nan,2.99543,1267.4
11,0.96137,0.90898,0.02346,0.01595,nan,2.99552,1406.3
12,0.96162,0.87833,0.03075,0.015,nan,2.99556,1558.2
13,0.96488,0.90368,0.02409,0.01334,nan,2.99559,1706.3
14,0.96488,0.91635,0.02584,0.01567,nan,2.99554,1853.2
15,0.96775,0.94519,0.01433,0.01247,nan,2.99553,1995.9
16,0.96488,0.8948,0.02741,0.0117,nan,2.99549,2132.6
17,0.96937,0.93663,0.01808,0.01104,nan,2.99556,2274.1
18,0.97237,0.95057,0.01271,0.01141,nan,2.99548,2411.5
19,0.96937,0.92497,0.02074,0.0104,nan,2.99553,2536.2
20,0.973,0.9493,0.01364,0.0089,nan,2.9955,2660.4
21,0.97375,0.9525,0.01201,0.00941,nan,2.99546,2785.4
22,0.9745,0.96102,0.01036,0.00952,nan,2.99553,2911.7
23,0.97575,0.95006,0.01192,0.00903,nan,2.9955,3036.5
24,0.977,0.96064,0.01127,0.00842,nan,2.99544,3163.1
25,0.97762,0.95817,0.01195,0.00879,nan,2.99541,3289.7
26,0.97662,0.95507,0.01128,0.00936,nan,2.99542,3415.6
27,0.97788,0.95615,0.01138,0.009,nan,2.99552,3543.6
28,0.97613,0.95764,0.01341,0.0079,nan,2.99553,3669.6
29,0.978,0.95941,0.01253,0.00691,nan,2.99544,3796.6
30,0.97675,0.94957,0.0151,0.00666,nan,2.99552,3922.5
31,0.97988,0.95944,0.01142,0.00714,nan,2.99549,4051.7
32,0.98037,0.96198,0.01237,0.00666,nan,2.99555,4178.3
33,0.97888,0.96451,0.01071,0.00633,nan,2.9955,4303.5
34,0.98113,0.95695,0.01051,0.00704,nan,2.99553,4429.1
35,0.98113,0.96433,0.01054,0.00699,nan,2.99545,4553.5
36,0.97875,0.95635,0.01443,0.00605,nan,2.99557,4677.6
37,0.979,0.93453,0.0175,0.00566,nan,2.99549,4803.8
38,0.98088,0.95892,0.01176,0.00583,nan,2.99551,4930.2
39,0.98162,0.96578,0.00941,0.00649,nan,2.99557,5058.3
40,0.97837,0.9455,0.01621,0.00621,nan,2.99544,5183.2
41,0.98,0.95437,0.01456,0.00552,nan,2.99542,5308.2
42,0.98125,0.96021,0.0129,0.00637,nan,2.99554,5433.5
43,0.98237,0.96802,0.0094,0.0062,nan,2.99551,5559.1
44,0.981,0.96534,0.01087,0.00497,nan,2.99554,5684.3
45,0.98188,0.95941,0.01226,0.00504,nan,2.99558,5810.7
46,0.98337,0.96711,0.00775,0.00625,nan,2.99561,5936.2
47,0.98037,0.95507,0.0123,0.0055,nan,2.99545,6061.5
48,0.98388,0.96919,0.00872,0.00586,nan,2.99563,6187.1
49,0.9835,0.96451,0.01054,0.00466,nan,2.99562,6312.2
50,0.98462,0.96679,0.00866,0.00561,nan,2.99559,6436.9
